	aspect term	text
712	;full service	When I am next to my router on my HP I get full service, on my Eee PC I get 3 bars.
713	;warranty	I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer.
714	;letter a	The letter A stopped working after the first week.
715	;after sales service.	This is what I call a good after sales service.
716	;software	I took off a star because the machine has a lot of junk software on it.
717	;works	With what I do know how to do, the computer works beautiful.
718	;recovey disk;recovery disk	Tried to make a recovey disk wouldnt get passed the first recovery disk.
719	;speed;capacity;build	Most everything is fine with this machine: speed, capacity, build.
720	;price	For the same price, you get a lot more in the Asus....1920x1080 res.
721	;itunes	"I made a photo book as a gift, on my computer, pushed ""Buy"" and it drew from my iTunes account and sent the book to my house, the book was of perfect quality-exactly how I had created it and looked better than I had even imagined."
722	;portability;battery life	I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).
723	;quality	It is in the best condition and has a really high quality.
724	;warranty service to toshiba	When it come time for warranty service to Toshiba you don't matter.
725	;screens	  However the frozen screens kept happening.
726	;space;downloads	It is short on space, and downloads always had problems being completed, or were said to be 'corrupted'.
727	;customer support	3) Horrible customer support
728	;led backlit display	The LED backlit display makes my pictures pop so much more.
729	;aesthetics	Apple is always great about the aesthetics of things, they always come up with good looking products.
730	;runs	Runs smooth and quick.
731	;screen size;battery life	The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.
732	;graphics	The graphics are great.
733	;connect quality	in 5 months the connect quality got worse and worse.
734	;screen	The big screen allows you to enjoy watching movies , pictures and etc!
735	;headphone;mic jack;touch-pad;touch-pad;headphones;mic	the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.
736	;price	For the [$] price (special offer) this is a great laptop.
737	;warranty	the manufacturer's warranty only covers replacement/repair of parts.
738	;memory;run	What I'd like is for the laptop to run well without having to purchase additional memory.
739	;works	It works exactly like it did the day I took it out of the box.
740	;connection with the internet;booting up;shutting down	It is fast booting up , shutting down, and connection with the internet.
741	;battery life	The battery life is great.
742	;gaming	This is not a serious gaming laptop or a serious media machine;
743	;hard drive;mother board	  They replaced my hard drive as well as my mother board.
744	;system	There is nothing to complain about the system.
745	;osx;features;use	and it comes with the new OSX that comes with new features that makes the use more easy.
746	;screen	Now the screen is going darker, darker, darker.
747	;keys;keyboard;keys	EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.
748	;features;dashboard	Features such as the Dashboard (allows you to view frequently used tools like a calculator, weather forecast, movie times, calendar, computer post its etc.
749	;return policy	when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.
750	;battery	  I sent it back and found this time that the battery was faulty, so I got a new one and some other fixes they found.
751	;portability;affordability	Great pick for portability and affordability.
752	;set up;hook to my wireless network	It's fast, it's easy easy easy to set up, easy to hook to my wireless network.
753	;aluminum style;specs;nvidia 9800	"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues."
754	;arm piece	The people there just changed for me on the spot and I got a new arm piece and they didn't even request for a receipt.
755	;carry	I take it everywhere with me because it's so easy to carry.
756	;battery	The only thing is that the battery won't last more than 1/2 an hour.
757	;1-year-warranty	The first fell apart right after the 1-year-warranty.
758	;word;word processer	Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.
759	;keyboard	The keyboard has a wonderful nature feel.
760	;battery;hard disk	They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.
761	;battery;battery	The battery doesn't last long but I'm sure an upgrade battery would solve that problem.
762	;performance specs;features	I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.
763	;quality control	I have no idea how this could have even gotten past quality control during production.
764	;touch-mouse	I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding.
765	;numeric pad	Oh yea, has no numeric pad on the side.
766	;cover for the dvd drive;construction quality	The cover for the DVD drive soon came off, too--a mark of poor construction quality.
767	;arm velcro	But the arm velcro is torn after one use.
768	;software	The software is amazing.
769	;lcd	"We carry the netbook around here and there, hence it's kinda of irritating when the LCD just ""slide"" downwards."
770	;2 gb of ram;windows 7;programs	The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.
771	;battery life;versitility	The battery life is amazing, the versitility is outstanding.
772	;safari	It is known as Safari, and if you are doing any website work, you should know that many hosting companies do not support it.
773	;vista	Vista is a nightmare.
774	;program	The program came with the computer and works beautifully.
775	;hinge design	the hinge design forced you to place various connections all around the computer, left right and front.
776	;screen;display;browsers	I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.
777	;runs	The So called laptop Runs to Slow and I hate it!
778	;charger	Charger seems large for this class of computer.
779	;speakers	I dislike the quality and the placement of the speakers.
780	;screen graphics;clarity;sharpness	The screen graphics and clarity, and sharpness are great.
781	;customer support;performance;safety feature	So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.
782	;unibody design	The unibody design is edgy and durable.
783	;booting up;one-year warranty	STOPPED BOOTING UP less than a week after my one-year warranty was up.
784	;cost	But, for the cost this is a winner.
785	;charge	Later it held zero charge and its replacement worked for less than three months.
786	;battery	  Also, the battery does not last very long at all.
787	;software;software	"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often....."
788	;price;features	I looked around and based off my price/features comparison from a brand I trusted I landed here.
789	;services	  I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.
790	;performance;speed;use	Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.
791	;bluetooth 3	Unless you need the Bluetooth 3.
792	;warrenty;fan blade	I was sorly disapointed to discover that HP (what I thought was a reputable company) wouldn't honor the warrenty when the fan blade fell apart.
793	;internet connection	More times that not the screen pops up saying I have a bad internet connection, or the page can't be displayed.
794	;external harddrives	Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.
795	;windows 7 starter	I don't understand why only Windows 7 Starter is included.
796	;functionality;value;simplicity;look	While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.
797	;looking	My macbook is so much better looking and so thin!
798	;use	The ease of use is wonderful.
799	;windows 7 starter	This system came loaded with Windows 7 Starter.
800	;battery life	-When battery life went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).
801	;battery	The battery gets so HOT it is scary.
802	;programs	Best thing is I can use existing 32 bit old programs.
803	;keys;look	It's so nice to look at and the keys are easy to type with.
804	;windows	I am forever changed and will no longer buy a Windows based machine for personal use.
805	;mouse keys	The only thing I would change about it is the mouse keys.
806	;features;use	It is absolutely horrible to use, despite all its so called advanced features.
807	;drivers;windows 7 ultimate	Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.
808	;mute	I have to keep turning it until it decides to lower and there is no mute.
809	;color reproduction	It's still beautiful and has better color reproduction than I could ever expect from a notebook.
810	;warranty	After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.
811	;use	He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.
812	;start up	u can do what u want in just few seconds, even to start up your computer takes few seconds.
813	;features	Also, macbooks come with much more features which are so cool!
814	;sony 'certified' technician	They sent out a Sony 'Certified' technician.
815	;proprietary software	They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.
816	;apple care plan	Getting the Apple Care plan is a must.
817	;cd drive;video games	overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.
818	;programs	I am constantly trying to uninstall programs, clean cookies, and delete unused files.
819	;processor;memory;hard drive;web cam;screen;features	The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.
820	;battery	The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.
821	;graphics	The graphics on this computer are also stellar - very clear and vivid.
822	;trial software;battery life;webcam	Aside from the trial software and the short battery life, lack of a webcam, its great.
823	;windows	As a die-hard Windows enthusiast, I shunned the idea of a Mac until this point.
824	;motherboard	I think that if it is the motherboard again so soon that they should replace it.
825	;programs;loads	The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.
826	;graphics;internet interfaces	Graphics are clean and sharp, internet interfaces are seamless.
827	;black keyboard	The newer black keyboard took a little bit away from the previous gray one which looked really slick, but it is still a great notebook!
828	;service	Sony parts reliability and quality of service is recenlty the worst.
829	;software options;applications	As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.
830	;features;functioning;programs;office	Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.
831	;works	It just works flawlessly!
832	;service center	"Do you think I purposely ""destroy"" my netbook, so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution."
833	;port	I'm having the laptop returned unrepaired since paying $176 every 3  months just isn't worth it (that's about how long the port seems to  last).
834	;battery	  also the battery is completely shot.
835	;cooling system;grafics card;led backlit screen.;8gb ram	/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...
836	;instructions	The biggest problem is that the box had no instructions in it.
837	;operation	But after using it a couple of weeks, the overall operation is poor.
838	;value;built;works	Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.
839	;screen;system	Screen is crystal clear and the system is very responsive.
840	;cost	I will stack it up against laptops that cost twice as much any day.
841	;cursor	Or the cursor would show up some place else.
842	;software;operate;gadgets	It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.
843	;windows;hard drive;disk image	it might be something deep within Windows, for I was unable to create a disk image on my hard drive.
844	;track pad;track pad	The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!
845	;disc drive;drive;drive	  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.
846	;appleworks;word processing program	First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all.
847	;size	I already have a HP laptop I bought last year that's standard size.
848	;battery;battery	Battery is not upgradable to a longer life battery.
849	;usage	apple has a reputation and is well known for its easy usage.
850	;speaker grill	Returned laptop for a 3rd repair and it came back with previous problems fixed (except for speaker grill) but the unit started locking up during use and eventually would not operate at all.
851	";macosx;windows 7;dual-core;quad-core;22"" monitor"	"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core."
852	;graphics;programs;garageband;default background	Love the graphics, awesome programs (including Garageband), and really cool default background.
853	;screen;keyboard;screen;island backlit keyboard;multi-touch mouse;mouse	Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.
854	;overpriced	The MacBook is way too overpriced for something so simple and chaotic.
855	;os;windows	The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!
856	;iwork;programs;microsoft office;word processing;spreadsheets;presentations	I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).
857	;runs	Overall, I experienced a huge change in that my mac runs pretty fast compared to my old PC.
858	;warranty	When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.
859	;built it web cam	It also came with a built it web cam which is great because I can see an communicate with my family members back home.
860	;monitor;performed	Good monitor and performed well.
861	;navigate	It was secure and easy to navigate.
862	;graphics cards	"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around."
863	;bluray player;book	The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.
864	;systems	They are by far the easiest systems to actually learn about computers with.
865	;internet	this apple navigates you thru the unexplored world of the internet.
866	;video card;gaming;media	The video card is great for media, and above average for gaming, but not a gamers first choice.
867	;3 year warranty,	I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 months later) the dv4 is what the sent me as a replacement.
868	;thermal paste	Apparently there is a manufacturing defect, something with the amount of thermal paste.
869	;internals	Despite the claims of the Apple apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.
870	;customer support	Took several hours with customer support before I could even start the PC out of the box.
871	;facial recognition;windows logon	Asus facial recognition doesn't work and windows logon isn't either.
872	;windows vista;online service	Windows Vista makes this computer almost unusable for online service.
873	;recovery dvds	I contacted Acer and they are giving me FREE recovery DVDs, so don't go and pay for them, just ask for them and they should give them to you.
874	;webcam;keyboard;carry	Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.
875	;display	Can listen to my music and watch my videos with ease and with a great display.
876	;features	Otherwise, all other features are a 1
877	;performance	The performance is awesome.
878	;display	The display is beyond horrible.
879	;memory;hard drive	There is hardly any memory on the computer's hard drive.
880	;sound	Actually, I had noticed the one on the sales floor also didn't have sound!
881	;fans	Next, most Acer laptop fans are on the bottom which is right on your laptop.
882	;preformed	the laptop preformed pretty well.
883	;system	I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.
884	;windows os	I loved the netbook (minus the fact that it was windows OS) until this started happening.
885	;user interface	The minute you fire it up it's all good, very easy user interface.
886	;warrenty	  I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.
887	;idvd;program;program	Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.
888	;hard drive;battery	After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.
889	;screen;works	I love the easy to see screen, and It works well for work, persoal or just play.
890	;word processing;surfing	If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.
891	;mouse pad;buttons	the mouse pad and buttons are the worst i've ever seen.
892	;graphics	Awesome graphics!
893	;play;work	It really is perfect for work and play.
894	;intel i processors;edge;edges	The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).
895	;sound quality via usb	One drawback I noticed was sound quality via USB.
896	;battery life;warranty;extended life battery	The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.
897	;operating system	I have had another Mac, but it got slow due to an older operating system.
898	;windows xp drivers;sound card;windows 7	That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.
899	;features;budget	I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.
900	;motherboard	Was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems.
901	;google chrome	Well, I started using Google Chrome, which is a little better, but it freezes too sometimes.
902	;speakers	Also the speakers are not very loud, But it is a netbook.
903	;price	LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!
904	;screen	Just a black screen!
905	;art aspect	A key contributor that led me to Mac is the art aspect.
906	;battery	Eventually my battery wouldn't charge, so unless I had it plugged in it wouldn't even power on.
907	;surfing	Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.
908	;pre-loaded norton firewall/security program	My first problem was with the pre-loaded Norton Firewall/Security program.
909	;usb connect	I had a USB connect but, i can't use it because it is not compatible.
910	;hard drive	Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.
911	;expense	I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers).
912	;cd drive	I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.
913	;multi-touch trackpad	I love the multi-touch trackpad.
914	;extended warranties;cost	HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.
915	;software	"Not too much ""junk"" software to remove."
916	;performance;system	System is loosing about 20% of performance because of that.
917	;quality;price;use	It is easy to use, good quality and good price.
918	;apple keyboard;pc's keyboard	The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!
919	;extended warranty	The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.
920	;ram	Only issue is that it is a little slow, and I'm fixing that by adding more RAM.
921	;hard drive;power cord	  The hard drive crashed as well, and I had to buy a new  power cord.
922	;battery	Another issue I have with it is the battery.
923	;power supply;techies	After 2 months of complaints, Asus finally sent the right power supply to my techies.
924	;sony sonic stage software;speakers;subwoofer;extended life battery;docking port;bluetooth mouse;bluetooth enabled	That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.
925	;works	My MacBook Pro works like a dream, it has never overheated, or even been slightly warm for that matter.
926	;keynote;powerpoint program	PC users use the Powerpoint program for slide-show presentation and Mac users utilize Keynote.
927	;size;size	I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.
928	;browser	It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.
929	;carry	Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.
930	;keyboard;keyboard	also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.
931	;programs;drivers	When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.
932	;space	Love that it doesn't take up space like a regular computer.
933	;customer service rep	Asked the customer service rep.
934	;genius bar staff);fan;boot up	So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.
935	;graphics;non-dedicated graphics card	Just keep in mind the graphics is not dedicated so loading the movie almost took a minute, but it ran fairly smooth for a non-dedicated graphics card.
936	;mouse cable;mouse	Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.
937	;ram slots;hdd bays;16gb ram support;wireless	-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.
938	;asus tech support	I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.
939	;screen;screen;display	In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display.
940	;mouse on the pad;left button	the mouse on the pad, the left button always sticks.
941	;batteries	  i have tried to charge on different batteries with no luck.
942	;battery life	I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.
943	;built in tools;itunes	We use the built in tools often, iTunes is open nearly every day and works great with my iPhone.
944	;size	the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.
945	;quality;price	True quality at a great price!
946	;carry	Not easy to carry.
947	;programs;leopard running system	The programs that come standard with the Leopard running system are enough for the average person to run all the basics.
948	;lg service center;service center;service	"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center""."
949	;material;specs;performs	The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.
950	;price	"After doing extensive research, macconnection had the lowest price on the 15"" MBP i5."
951	;photo booth	I am ADDICTED to photo booth!
952	;operating system;user interface;multi-touch track pad	The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.
953	;hard disk;hard disk space;internal hard disk	Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.
954	;connects to wifi	It is extremely portable and easily connects to WIFI at the library and elsewhere.
955	;applications;windows	First things first, Macbook pro has many applications to make life easier, unlike the windows computers.
956	;screen;gaming	And the screen on this thing is absolutely amazing for high quality videos and movies and gaming.
957	;space	  I considered I may have too much on the computer, but after looking, there was plenty of space and that is not the issue.
958	;battery life	I don't use my laptop in a way though that needs a long battery life so it's perfect for me.
959	;charge	  i must keep it plugged in at all times because it will not keep a charge for longer than four minutes.
960	;power adapter	Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working.
961	;price	I saw walmart had the same computer for about $650 but still knowing what I know now,I would not buy it at that price.
962	;weight	Of course, for a student, weight is always an issue.
963	;mainboard	Now mainboard is broken, have to wait for a new one.
964	;speed;hard drive;500gb external hard drive	The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.
965	;wireless card	2.The wireless card is low quality.
966	;operating systems	They also use two totally different operating systems.
967	;keys	They are about the same size keys.
968	;portability	I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.
969	;accessories	The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.
970	;warranty	They offer the best warranty in the business, and don't 3rd party it out like Toshiba.
971	;sound	The only problems are the sound isnt very loud I have to wear headphones.
972	;windows	Again- windows based machines were not giving me anything to work with!
973	;system	everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.
974	;size;games	i love the size of the computer since i play games on it.
975	;playing games	You know, using the computer should be fun, not aggrevation, especially when you are playing games or working with photos.
976	;windows	There are no viruses or spyware to worry about like on a Windows computer.
977	;equipment	To be honest i think it was faulty equipment or something but idk.
978	;size	I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.
979	;build;wt;battery life	I love its solid build, light wt and excellent battery life (for now).
980	;quality	while about 8 years ago, I hope that the quality has changed.
981	;apple navigation;apps	The difference is it's a whole lot of fun using the laptop now, still learning the Apple navigation, but is fun and comes with a lot of cool apps.
982	;hard drives	-I propose that I can just swap the hard drives.
983	;battery;built;runs	The battery holds up well, it's built very solidly, and runs fast.
984	;sound card	Sound card is limited though.
985	;processing power;battery life;sized	This is a nicely sized laptop with lots of processing power and long battery life.
986	;vista	  The only thing I can imagine is that Sony jumped on early specifications for Vista requirements from Microsoft and designed it to those inadequate requirements.
987	;keyboard;desktop keyboard	The keyboard, which generally felt okay even for someone used to a desktop keyboard, now looks terrible.
988	;display	The display is awesome.
989	;mouse	The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.
990	;warranty	It took several weeks just to get them to acknowledge that I owned the warranty.
991	;keyboard;keyboard	The keyboard is like no other laptop keyboard.
992	;battery life	-Computer crashed frequently and battery life decreased very quickly.
993	;hard drives	-I propose that they can just swap the hard drives.
994	;driver;drivers/applications dvd	Every driver on the drivers/applications DVD is everything you will need for a reload.
995	;repair depot;repair depot	I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.
996	;operating system	It's also fairly easy to use the Operating System.
997	;motherboards	I know that ASUS is known for making motherboards, but this is the worst computer experience that I have ever had.
998	;costing	We figure that after everything HIS pc actually ended up costing $350 more than my original Mac.
999	;ac plug	So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.
1000	;peformance;price	Peformance is good for the price.
1001	;shipping	The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.
1002	;bios	Summary: HP knew they were shipping out bad BIOS and did nothing proactive to resolve it.
1003	;ports	I had 3 months when the ports started going out.
1004	;o	The improvements to the OS have been relatively gradual, but substantive.
1005	;use	It is super easy to use.
1006	;hard drives	Many of my classmates computers hard drives crashed.
1007	;use	Ease of use is just one of the benefits I love about my Mac.
1008	;ms office	I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.
1009	;shipping;price;budget	"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
1010	;power;flexibility	The sheer power and flexibility makes the MacBook Pro a must have for any techie!
1011	;hdmi port;s-video port	The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.
1012	;speakers	The speakers on it are useless too.
1013	;battery;surfing the web	Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.
1014	;iphoto	Iphoto is great for adding pictures right to facebook and other social networking sites.
1015	;senior tech	"In early May I got it back and this time I only had it back for 1 day before it had a NEW issue so it was sent back in for the 6th time they ""expedited"" the repairs so I was only supposed to have to be without it for 3 days and it was supposed to be fixed, by a ""Senior Tech""."
1016	;volume wheel;sound quality;features	Some features arent friendly ( volume wheel, sound quality, etc.
1017	;price	"A cheaper price should not equal a ""cheap"" product."
1018	;manual;hard drive	I think the manual is somewhere on the hard drive, but I rather have a hard copy.
1019	;software	Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!
1020	;sensitivity	Adjust the sensitivity since it's not that responsive to begin with.
1021	;battery life;battery	After a couple of years, my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery.
1022	;battery life;case;core applications;system	The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.
1023	;charge	  Later it held zero charge and its replacement worked for less than three months.
1024	;cord	  The company sent me a whole new cord overnight and apologized.
1025	;hook up to other wireless networks	It's even easy to hook up to other wireless networks.
1026	;shift key	  Also, I have had alot of trouble with the shift key to go to other lines.
1027	;rep	The rep did not even answer my question, I had to ask him, if he understood what I ask or if he spoke english because he didn't even try to acknowledge my question.
1028	;power;speed;programs	It gives me the power and speed that I need to run all the programs I use to edit.
1029	;ilife;microsoft office	iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.
1030	;portability;longevity;use	As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;
1031	;motherboard;fan	  Again I sent it back and they replaced the motherboard and some fan inside.
1032	;charged	Fully charged, the MacBook Pro can last about five hours unplugged.
1033	;price	Even though it is much more expensive than many PC laptops, it is worth the price.
1034	;price	I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.
1035	;keys	For me, keys were starting to get stuck and wouldn't type very well.
1036	;standard os cd;proprietary hardware drivers	can't reinstall with standard os cd because of proprietary hardware drivers.
1037	;battery;charge	"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge."
1038	;delivery	The computer was two weeks late in delivery because HP forgot to complete the required import paperwork.
1039	;programm	The first programm I switched on was a game for my children.
1040	;performance	I have been very pleased with the performance of this laptop.
1041	;battery life;response;internet focused activity	I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;
1042	;features	Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.
1043	;charges	It is sleek and lightweight and charges quickly when needed.
1044	;size;look;feature;charge	also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.
1045	;ibook backup;firewire connectio	( The iBook backup also uses a firewire connection).
1046	;camera;specifications	I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.
1047	;display	Also the display is exceptional!
1048	;repair depot	The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.
1049	;keyboard shortcuts;shortcuts	Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines.
1050	;ram	little short on RAM but you get what you pay for.
1051	;software;windows media;price	It didn't come with any software installed outside of windows media, but for the price, I was very pleased with the condition and the overall product.
1052	;warranty;replacement charger	THEN, one month after the warranty expired, the replacement charger went.
1053	;windows system	"I love a ""pc"" but I was ready for a change and tired of the windows system."
